# 34 рабочие таблицы OK_


OK_ACADEMIC                    Сведения об ученых званиях


OK_ADDINFORM                   Дополнительные сведения


OK_ARMY                        Отношение к воинской службе


OK_ATTESTATION                 данные о прохождении аттестации (в основном заполняется для работников обменных


OK_AWARD                       Сведения о наградах


OK_BUSINESS_VOYAGE             рабочая таблица «Командировки»


OK_CHANGE_FIO                  Cведения об изменении Фамилии, Имени, Отчества


OK_CONVICTIONS                 Сведения о судебной ответственности


OK_DEGREE                      Сведения об ученых степенях


OK_EDUCATION                   Сведения об образовании


OK_ELECTION                    Сведения об избрании в исполнительные органы


OK_HOSPITAL                    рабочая таблица «Больничные»


OK_INCREASE                    таблица "надбавки"


OK_KURS                        Курсы повышения квалификации


OK_LANGUAGE                    Сведения об иностранных языках


OK_LEAVE                       Таблица отпусков


OK_PARTY                       Сведения о партийности


OK_PENALTY                     Сведения о получении наказания


OK_PERIOD                      Сведения о работе


OK_PERSONAL                    рабочая таблица "Сведения о сотруднике"


OK_POST                        Назначения и перемещения


OK_PREMIUM                     Сведения о получении Государственных премий


OK_PRIVILEGE                   рабочая таблица «Сведения о льготах»


OK_RELATION                    сведения о близких родственниках


OK_REZERV                      резерв


OK_REZERV_DETAIL               резерв-детали


OK_RISE                        Сведения о повышении квалификации


OK_SCIENTIFIC                  Сведения о научных работах


OK_STAT                        штатное расписание - основная часть


OK_STAT_SALARY                 штатное расписание-дополнительная часть


OK_TABEL                       Табель


OK_VOYAGE                      Сведения о зарубежных поездках


OK_YOUTH                       Членство в молодежной организации


OK_ZP_RATE                     ставка


#  56 справочников SS_OK_

SS_OK_ACADEMIC                 Справочник ученых званий


SS_OK_ARMY                     Справочник Отношение к военной службе


SS_OK_ARMY_GROUP               группа учета


SS_OK_ARTICLE                  Справочник статей КЗОТа


SS_OK_BASE_MOVE                причины перемещения


SS_OK_BASIS                    Системный справочник наличия вакансии


SS_OK_CATEGORY                 справочник "Разряды"


SS_OK_CATEGORY_ARMY            категория учета (МО)


SS_OK_CITY                     справочник города


SS_OK_DEGREE                   Справочник ученых степеней


SS_OK_DEPARTMENT               Справочник отделов


SS_OK_DEPARTMENT_TYPE          Справочник типов отделов


SS_OK_DISTR                    справочник Районы


SS_OK_EDUCATION                Справочник образований


SS_OK_EDUCATION_TITLE          справочник наименований образований


SS_OK_ELECTION                 Справочник исполнительных органов


SS_OK_FAMILY_STATUS            Системный справочник "семейное положение"


SS_OK_FITNESS_ARMY             системный справочник пригодности к военной службе


SS_OK_GENDER                   Справочник пол м-ж


SS_OK_HOSPITAL                 справочник «Виды Больничных»


SS_OK_INCREASE                 справочник «надбавки»


SS_OK_INSTITUTION              Справочник учебных заведений


SS_OK_KV_KURS                  справочник Курсы повышения квалификации


SS_OK_LANGUAGE                 Справочник языков


SS_OK_LEAVE                    Справочник видов отпусков


SS_OK_LEVEL_DEPARTMENT         Системный справочник "уровни подразделений"


SS_OK_LEVEL_LANGUAGE           Справочник знаний иностранных языков


SS_OK_MILITARY_RANK            воинские звания


SS_OK_MIN_ZP                   справочник «минимальная зарплата»


SS_OK_MOTIVE_DISMISSIAL        Справочник оснований причин увольнений


SS_OK_NATIONALITY              Справочник национальностей


SS_OK_ORG_BUSINESS_VOYAGE      справочник «Организатор проведения командировки»


SS_OK_PARTY                    Справочник зарегистрированных партий


SS_OK_PASSPORT_TYPE            вид документа


SS_OK_PENALTY                  Справочник видов наказаний


SS_OK_POST                     Справочник должностей


SS_OK_PRIVILEGE                справочник привилегий


SS_OK_PROFMEMBER               профсоюз


SS_OK_QUALIFICATION            Справочник Квалификаций


SS_OK_REGION                   справочник областей


SS_OK_REGPLACE                 справочник место регистрации


SS_OK_REG_TYPE                 Системный справочник тип прописки "постоянная/временная"


SS_OK_RELATION                 Справочник родственных отношений


SS_OK_REZERV                   еще один Системный справочник наличия резерва для справочника должностей


SS_OK_REZERVE                  Системный справочник наличия резерва


SS_OK_SPECIAL                  специализация


SS_OK_STAFF                    Вид состава (МО)


SS_OK_STATUS                   Системный справочник "УРОВЕНЬ подразделения"


SS_OK_STR                      Отношение к воинской службе


SS_OK_THEME_BUSINESS_VOYAGE    справочник «Тема командировки»


SS_OK_TYPE_FORCE               Рода войск


SS_OK_TYPE_PERIOD              Справочник типов стажа


SS_OK_VACANCY                  Системный справочник наличия вакансии


SS_OK_YOUTH                    Справочник й


SS_OK_ZP_RATE                  справочник ставка рабочего времени


SS_OK_ZP_RATE_TYPE             справочник ТИПЫ ставки рабочего времени
